Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
158,,Narayana E-Techno School(BELENDUR),"BELENDUR, BANGALORE
,560043",830833,,Secondary School,8722126999
159,,"NARAYANA E-TECHNO
SCHOOL(C.V.Raman Nagar)","KAGgadasapura Main Road, Near C.V.Raman Nagar, Bangalore
,560093",830575,,Secondary School,080 65476133
160,,Narayana E-techno school(cholanayakanahalli),"vishweshwaraiah layout, cholanayakanahalli, r.t.nagar, bangale ,560032",830510,,Secondary School,080 42287328
161,,Narayana E-Techno School(Doddabettahalli),"Doddabettahalli, Yelahanka, Bangalore ,560064",830831,,Secondary School,9243607900
162,,NARAYANA E-TECHNO SCHOOL(GARVEBHAVI PALLYA),"GARVEBHAVI PALLYA, HOSUR ROAD, BANGALORE-68 ,560068",830730,,Secondary School,8041550829
163,,NARAYANA E-TECHNO SCHOOL(GREEN GLEN LAYOUT),"GREEN GLEN LAYOUT, BANGALORE, KARNATAKA- 560103 ,560103",830470,,Secondary School,080-65470820
164,,Narayana E-Techno School(KALYANA NAGARA),"CHELEKERE EXT., KALYANA NAGARA, BANGALORE-43
,560043",830686,,Secondary School,91 9243681052
165,,"NARAYANA E-TECHNO
SCHOOL(Koramangala)","Sy. No. 182, Audugodi Rd., 8th Block, Koramangala, Bangalore
,560030",830610,,Secondary School,91 9243603256
166,,Narayana E-techno school(kundalahalli gate),"kundalahalli gate, tubarahalli, behind sri rama samriddhi apartment, bangale-560066 ,560066",830509,,Secondary School,080 28476662
167,,"NARAYANA E-TECHNO
SCHOOL(Malathahalli Village)","Sy. No. 58/1 & 58/2, Near Vinayaka Temple, Malathahalli Village, Bangalore-560056 ,560056",830573,,Secondary School,080 65555633
168,,"narayana e-techno school(mandur village, virgo nagar)","mandur village, virgo nagar post, bangale ,560049",830508,,Secondary School,080 28470684
169,,NARAYANA E-TECHNO SCHOOL(NANDHINI LAYOUT),"NANDHINI LAYOUT, BANGALORE ,560096",830883,,Secondary School,9243681061
170,,"NARAYANA E-TECHNO
SCHOOL(Rammurthynagar)","A.N.R complex, Rammurthynagar, Bangalore-43 ,560016",830552,,Secondary School,080 65354525
171,,"NARAYANA E-TECHNO
SCHOOL(Vidyaranyapura)","Sy. No. 58, Katha No. 114, Venkataswamappa Layout, Vidyaranyapura, Bangalore North, Bangalore-560097 ,560097",830600,,Senior Secondary,91 7022293944
172,,"NARAYANA E-TECHNO
SCHOOL(Yelachenahalli)","Sy. No.20/5, Appanna Reddy Building, Post Office Rd., Yelachenahalli, Bangalore. ,560078",830574,,Secondary School,080 26861122
173,,NARAYANA OLYMPIAD SCHOOL( H.S.R. LAYOUT),"HARLUR MAIN ROAD, H.S.R. LAYOUT, BANGALORE ,560102",830683,,Secondary School,91 9243600627
174,,NARAYANA OLYMPIAD SCHOOL(B.CHENNASANDRA),"B.CHENNASANDRA, KASTURI NAGAR, BANGALORE-43
,560043",830723,,Secondary School,8042055921
175,,Narayana Olympiad School(GORIVEGERE VILLAGE),"GORIVEGERE VILLAGE, BIDARHALLI HOBLI, BANGALORE-49 ,560049",830762,,Secondary School,"08042111548
9902238996"
176,,NARAYANA OLYMPIAD SCHOOL(KODIGEHALLI),"AMCO LAYOUT, RAJIVGANDHI NAGAR, KODIGEHALLI, SAHAKARANAGAR POST, BANGALORE-92 ,560092",830713,,Secondary School,9243600622
177,,NATIONAL ACADEMY FOR LEARNING,"III CROSS III STAGE III BLOCK BASWESHWAR NAGAR BANGALORE KARNATAKA
,560079",830060,,Senior Secondary,080 23239281
178,,NATIONAL CENTRE FOR EXCELLENCE,"#154/1, VICTORIAN ENCLAVE,5TH MAIN,MALLESHPALYA,NEW TIPPASANDRA POST,BANGALORE-560075
,560075",830194,,Secondary School,080 25344939
179,,National Hill View Public School(BSK 3rd Stage),"Sy.No.153,Near Nice Link Road Junction,BSK 3rd Stage  ,560085",830722,,Secondary School,080 65703991
180,,NATIONAL HILL VIEW PUBLIC SCHOOL(RAJARAJESHWARI NAGAR),"IDEAL HOME TOWNSHIP RAJARAJESHWARI NAGAR BANGALORE, KARNATAKA
,560098",830080,,Secondary School,080 65580067
181,,National Public School(Basavanapura),"47/1, Basavanapura, Gottigere P.O.,Bannerghatta Road ,560083",830567,,Secondary School,080 40250582
182,,National Public School(Chikkabanavara),"R.R.Layout, Near R.R. Institute of technology, Near Railway Station , Chikkabanavara ,560090",830608,,Secondary School,080 28391155
183,,NATIONAL PUBLIC SCHOOL(HSR LAYOUT),"P 32, IV SECTOR, HSR LAYOUT
,560012",830259,,Secondary School,080 25729406
184,,NATIONAL PUBLIC SCHOOL(INDIRA NAGAR),"12-A MAIN ROAD H A L II- STAGE INDIRA NAGAR BANGALORE KARNATAKA
,560008",830007,,Senior Secondary,080 25280611
185,,NATIONAL PUBLIC SCHOOL(JAYANAGAR),"NO.1, IV BLOCK EAST, JAYANAGAR ,560011",830822,,Secondary School,"08284 080-
26633167"
186,,National Public School(Kengeri Satellite Town),"No. 8 C Kengeri Hobli, Hoysala Circle, Near Police Quarters, Kengeri Satellite Town, Bangalore - 560060 ,560060",830566,,Secondary School,080 28488856
187,,NATIONAL PUBLIC SCHOOL(KORAMANGLA),"NATIONAL GAMES VILLAGE COMPLEX 80 FT ROAD KORAMANGLA BANGALORE KARNATAKA ,560047",830095,,Secondary School,080 25705171
188,,NATIONAL PUBLIC SCHOOL(MES ROAD BANDAPPAGARDEN),"#25, 1ST MAIN ROAD, MES ROAD, BANDAPPAGARDEN,BANGALO RE ,560054",830249,,Senior Secondary,080 23374802
189,,NATIONAL PUBLIC SCHOOL(RAJAJI NAGAR),"1036-A PURANDHARAPURA
5TH BLOCK RAJAJI NAGAR BANGALORE KARNATAKA
,560010",830001,,Senior Secondary,080 23350361
190,,National Public School(Uttarahalli),"Syno-81, Uttarahalli Hobli,  south taluk Bangalore-560061. ,560061",830522,,Secondary School,080 28611799
191,,"National Public School,(Yelahanka)","22/B-1, Sector B, Yelahanka New Town Bangalore 560 064 ,560064",830513,,Senior Secondary,080 28462222
192,,"National Public School,(Yeshwanthpur)","#9/1, Pipeline Road, Raghavendra Layout, (Behind RNS Motors), Yeshwanthpur ,560022",830531,,Senior Secondary,080 23571220
193,,NAVAPRAJNA PUBLIC SCHOOL,"NAVAJEEVANA NILAYA COMPLEX, MARATHAHALLI
,560037",830431,,Secondary School,080 28524406
194,,NAVKIS EDUCATION CENTRE,"GOKULA, DISTT BANGALORE KARNATAKA ,560054",830084,,Senior Secondary,080 23456663
195,,NAVODAYA KISHORE KENDRA,"SRI VARADARAJA SWAMI LAYOUT, SINGAPURA VIDYARANYAPURA ROAD, BANGALORE ,560056",830204,,Secondary School,080 23254455
196,,NEHRU SMARKA VIDYALAYA,"244/C 7TH BLOCK JAYANAGAR BANGALORE KARNATAKA
,560082",830159,,Secondary School,080 22444411
197,,NEW BALDWIN INTERNATIONAL RESIDENTIAL SCHOOL,"sy no 128/P14, Budigere Cross Road, Mandur, Virgonagar (Post)
,560049",830615,,Secondary School,8025559145
198,,NEW BALDWIN INTERNATIONAL SCHOOL,"NEW BALDWIN INTERNATIONAL SCHOOL
,#15/1 &15/2,HOSUR MAIN ROAD, HOMPHALAGHATTA CROSS, GUDDANAHALLI POST,ANEKAL ,562106",830758,,Secondary School,8027841652
199,,New Cambridge International Public School,"CA Site 6(P), West of Chord Road II Stage, Mahalakshmipuram
,560086",830625,,Senior Secondary,080 23493096
200,,NEW HORIZON GURUKUL ENGLISH MEDIUM SCHOOL,"PANNATHUR MAIN ROAD NEAR MARATHAHALLI OUTER RING ROAD ,560087",830395,,Secondary School,080 25639720
